,id,max_light,min_light,mean_light,median_light,std_light,Cluster,Access to water,Access to electricity,Acess to cellphone,Education completed,Wealth Index Factor Score,hiv blood test result,latitude,longitude,geometry
0,1.0,62.0,12.0,39.14,39.0,14.754673835771499,1,16006,16.0,20.0,113.0,0.93947,1,-3.3685,29.362185999999998,POINT (29.362186 -3.3685)
1,2.0,0.0,0.0,0.0,0.0,0.0,2,535,0.0,3.0,33.0,-0.43773999999999996,0,-3.816132,29.963905,POINT (29.963905 -3.816132)
2,3.0,0.0,0.0,0.0,0.0,0.0,3,372,0.0,2.0,32.0,-0.35663,1,-2.505578,30.258659,POINT (30.258659 -2.505578)
3,4.0,8.0,0.0,0.76,0.0,2.2852570971337114,4,802,1.0,1.0,24.0,-0.44414499999999996,0,-3.428142,30.257026,POINT (30.257026 -3.428142)
4,5.0,0.0,0.0,0.0,0.0,0.0,5,801,0.0,2.0,29.0,-0.49849499999999997,0,-3.7581300000000004,30.310477000000002,POINT (30.310477 -3.75813)
5,6.0,7.0,0.0,0.44,0.0,1.60822883943797,6,1474,0.0,4.0,60.0,-0.32234,0,-3.9842769999999996,30.132248999999998,POINT (30.132249 -3.984277)
6,7.0,0.0,0.0,0.0,0.0,0.0,7,578,0.0,1.0,51.0,-0.50541,0,-3.034616,29.484857,POINT (29.484857 -3.034616)
7,8.0,0.0,0.0,0.0,0.0,0.0,8,1691,0.0,7.0,154.0,-0.336985,0,-3.143761,30.565269,POINT (30.565269 -3.143761)
8,9.0,0.0,0.0,0.0,0.0,0.0,9,22976,0.0,0.0,159.0,-0.33388,0,-3.422767,30.381834,POINT (30.381834 -3.422767)
9,10.0,0.0,0.0,0.0,0.0,0.0,10,735,0.0,7.0,68.0,-0.31114,0,-3.211953,29.671818,POINT (29.671818 -3.211953)
10,11.0,47.0,0.0,10.57,7.0,11.701499903858478,11,1376,2.0,12.0,110.0,0.5271899999999999,1,-3.450868,29.359809999999996,POINT (29.35981 -3.450868)
11,12.0,0.0,0.0,0.0,0.0,0.0,12,2700,12.0,11.0,129.0,-0.004894999999999997,1,-3.204809,29.776477000000003,POINT (29.776477 -3.204809)
12,13.0,0.0,0.0,0.0,0.0,0.0,13,585,0.0,0.0,49.0,-0.4734,0,-3.7011339999999997,30.08747,POINT (30.08747 -3.701134)
13,14.0,0.0,0.0,0.0,0.0,0.0,14,1846,0.0,3.0,141.0,-0.39073,0,-4.171279,29.883384000000003,POINT (29.883384 -4.171279)
14,15.0,0.0,0.0,0.0,0.0,0.0,15,2790,0.0,1.0,50.0,-0.446935,1,-3.2936690000000004,29.520090000000003,POINT (29.52009 -3.293669)
15,16.0,62.0,0.0,25.66,19.0,18.66345091348328,16,23904,23.0,24.0,280.0,2.28797,2,-3.4205160000000006,29.370983000000003,POINT (29.370983 -3.420516000000001)
16,17.0,0.0,0.0,0.0,0.0,0.0,17,681,4.0,12.0,119.0,-0.27454,2,-2.8647,29.701814000000002,POINT (29.701814 -2.8647)
17,18.0,0.0,0.0,0.0,0.0,0.0,18,1536,0.0,0.0,131.0,-0.42367,0,-3.1659650000000004,30.423372999999998,POINT (30.423373 -3.165965)
18,19.0,20.0,0.0,5.14,0.0,5.981672007056222,19,1623,3.0,9.0,124.0,0.54259,0,-3.4550160000000005,29.925565000000002,POINT (29.925565 -3.455016000000001)
19,20.0,0.0,0.0,0.0,0.0,0.0,20,2754,0.0,1.0,55.0,-0.368465,0,-3.555017,29.718658,POINT (29.718658 -3.555017)
20,21.0,7.0,0.0,1.26,0.0,2.5283196000505943,21,3942,22.0,22.0,289.0,2.341025,8,-4.031215,30.138494,POINT (30.138494 -4.031215)
21,22.0,0.0,0.0,0.0,0.0,0.0,22,770,0.0,1.0,41.0,-0.463145,1,-2.863757,30.096235999999998,POINT (30.096236 -2.863757)
22,23.0,0.0,0.0,0.0,0.0,0.0,23,2343,0.0,1.0,43.0,-0.36496999999999996,0,-2.628325,30.357823,POINT (30.357823 -2.628325)
23,24.0,0.0,0.0,0.0,0.0,0.0,24,653,0.0,3.0,69.0,-0.5387350000000001,1,-3.249779,29.746648999999998,POINT (29.746649 -3.249779)
24,25.0,0.0,0.0,0.0,0.0,0.0,25,414,0.0,3.0,53.0,-0.30227000000000004,1,-3.1786830000000004,30.683192,POINT (30.683192 -3.178683)
25,26.0,0.0,0.0,0.0,0.0,0.0,26,1480,0.0,1.0,32.0,-0.35488000000000003,0,-3.852615,30.132445,POINT (30.132445 -3.852615)
26,27.0,0.0,0.0,0.0,0.0,0.0,27,677,0.0,0.0,41.0,-0.44127,0,-3.169697,29.738977000000002,POINT (29.738977 -3.169697)
27,28.0,0.0,0.0,0.0,0.0,0.0,28,6074,2.0,6.0,91.0,-0.093225,0,-4.318368,29.614659999999997,POINT (29.61466 -4.318368)
28,29.0,0.0,0.0,0.0,0.0,0.0,29,3455,0.0,2.0,114.0,-0.366525,1,-2.8920150000000002,29.304608,POINT (29.304608 -2.892015)
29,30.0,0.0,0.0,0.0,0.0,0.0,30,6474,4.0,10.0,213.0,0.05866,0,-3.052591,30.565414,POINT (30.565414 -3.052591)
30,31.0,0.0,0.0,0.0,0.0,0.0,31,457,0.0,0.0,213.0,-0.518195,0,-3.2859,30.773201,POINT (30.773201 -3.2859)
31,32.0,0.0,0.0,0.0,0.0,0.0,32,203,0.0,3.0,240.0,-0.43586,0,-3.188936,29.343944,POINT (29.343944 -3.188936)
32,33.0,62.0,6.0,25.84,17.0,19.287156348202288,33,6513,8.0,19.0,164.0,0.45823,2,-3.343654,29.383446999999997,POINT (29.383447 -3.343654)
33,34.0,0.0,0.0,0.0,0.0,0.0,34,1293,0.0,1.0,129.0,-0.247075,0,-3.966379,29.78955,POINT (29.78955 -3.966379)
34,35.0,9.0,0.0,2.2,0.0,3.3346664001066126,35,890,0.0,12.0,76.0,-0.23317,3,-3.9722470000000003,29.434198,POINT (29.434198 -3.972247)
35,36.0,0.0,0.0,0.0,0.0,0.0,36,617,0.0,2.0,45.0,-0.45769,0,-3.03802,29.327053000000003,POINT (29.327053 -3.03802)
